municipio.x,pib_total_mil,populacao_2022,pib_per_capita
ADAMANTINA,1705895,34687,49179.66385101047
ADOLFO,215283,4351,49478.9703516433
AGUAI,1773843,32072,55308.15041157396
AGUDOS,3415809,37680,90653.1050955414
ALAMBARI,160252,6141,26095.424198013352
ALFREDO MARCONDES,158137,4445,35576.37795275591
ALTAIR,210529,3451,61005.21587945523
ALTINOPOLIS,946538,16818,56281.24628374361
ALTO ALEGRE,172396,3841,44883.10335850039
ALUMINIO,3438994,17301,198774.29050343912
ALVINLANDIA,82613,2885,28635.355285961872
AMERICANA,17600566,237240,74188.86359804418
AMPARO,6698469,68008,98495.30937536761
AMERICO BRASILIENSE,1504962,33019,45578.66682818983
AMERICO DE CAMPOS,175848,5870,29957.069846678023
ANALANDIA,266292,4589,58028.32861189802
ANDRADINA,4464940,59783,74685.78023852935
ANGATUBA,1776475,24022,73952.0023311964
ANHEMBI,315144,5674,55541.76947479732
ANHUMAS,132376,4023,32904.79741486453
APARECIDA,1369699,32569,42055.29798274433
APARECIDA D'OESTE,225794,4086,55260.40137053353
APIAI,1235626,24585,50259.34512914379
ARAMINA,219179,5420,40438.929889298895
ARANDU,217238,6885,31552.360203340595
ARAPEI,53236,2330,22848.068669527896
ARARAQUARA,14689500,242228,60643.278233730205
ARARAS,10022873,130866,76588.82368223985
ARACARIGUAMA,4832077,21522,224518.0280643063
ARACATUBA,11457740,200124,57253.203014131235
ARACOIABA DA SERRA,1523194,32443,46949.85050704312
ARCO-IRIS,136329,2044,66697.16242661448
AREALVA,301110,8130,37036.90036900369
AREIAS,75042,3577,20979.032708974002
AREIOPOLIS,221707,10130,21886.179664363277
ARIRANHA,1252002,7602,164693.76479873716
ARTUR NOGUEIRA,2162833,51456,42032.66868781095
ARUJA,10426127,86678,120285.73571148388
ASPASIA,65851,1842,35749.72855591748
ASSIS,4682609,101409,46175.47752171898
ATIBAIA,9426584,158647,59418.60860905028
AURIFLAMA,443572,13692,32396.43587496348
AVANHANDAVA,295755,11263,26258.98961200391
AVARE,4408538,92805,47503.23797209202
AVAI,500953,4483,111745.03680571046
BADY BASSITT,762195,27260,27960.19809244314
BALBINOS,82895,3887,21326.215590429638
BANANAL,282444,9969,28332.22991272946
BARBOSA,186923,5640,33142.375886524824
BARIRI,1863764,31595,58989.20715303054
BARRA BONITA,2077901,34346,60499.06830489722
BARRA DO CHAPEU,202870,5179,39171.6547596061
BARRA DO TURVO,145159,6876,21110.965677719603
BARRETOS,6715414,122485,54826.41956157897
BARRINHA,737580,32092,22983.298018197682
BARUERI,71646710,316473,226391.22452784283
BARAO DE ANTONINA,80403,3531,22770.603228547156
