uf,municipio,cod_municipio,total_vitima,populacao_2022,taxa_100mil
SP,ADAMANTINA,3500105,54,34687,14.15
SP,ADOLFO,3500204,15,4351,31.34
SP,AGUAI,3500303,104,32072,29.48
SP,AGUDOS,3500709,126,37680,30.4
SP,ALAMBARI,3500758,15,6141,22.21
SP,ALFREDO MARCONDES,3500808,12,4445,24.54
SP,ALTAIR,3500907,8,3451,21.07
SP,ALTINOPOLIS,3501004,67,16818,36.22
SP,ALTO ALEGRE,3501103,11,3841,26.03
SP,ALUMINIO,3501152,44,17301,23.12
SP,ALVINLANDIA,3501509,5,2885,15.76
SP,AMERICANA,3501608,468,237240,17.93
SP,AMPARO,3501905,183,68008,24.46
SP,AMERICO BRASILIENSE,3501707,157,33019,43.23
SP,AMERICO DE CAMPOS,3501806,11,5870,17.04
SP,ANALANDIA,3502002,16,4589,31.7
SP,ANDRADINA,3502101,343,59783,52.16
SP,ANGATUBA,3502200,65,24022,24.6
SP,ANHEMBI,3502309,28,5674,44.86
SP,ANHUMAS,3502408,8,4023,18.08
SP,APARECIDA,3502507,262,32569,73.13
SP,APARECIDA D'OESTE,3502606,6,4086,13.35
SP,APIAI,3502705,71,24585,26.25
SP,ARAMINA,3503000,8,5420,13.42
SP,ARANDU,3503109,15,6885,19.81
SP,ARAPEI,3503158,7,2330,27.31
SP,ARARAQUARA,3503208,645,242228,24.21
SP,ARARAS,3503307,370,130866,25.7
SP,ARACARIGUAMA,3502754,106,21522,44.77
SP,ARACATUBA,3502804,1069,200124,48.56
SP,ARACOIABA DA SERRA,3502903,412,32443,115.45
SP,ARCO-IRIS,3503356,6,2044,26.69
SP,AREALVA,3503406,35,8130,39.14
SP,AREIAS,3503505,23,3577,58.45
SP,AREIOPOLIS,3503604,41,10130,36.79
SP,ARIRANHA,3503703,26,7602,31.09
SP,ARTUR NOGUEIRA,3503802,114,51456,20.14
SP,ARUJA,3503901,266,86678,27.9
SP,ASPASIA,3503950,6,1842,29.61
SP,ASSIS,3504008,274,101409,24.56
SP,ATIBAIA,3504107,383,158647,21.95
SP,AURIFLAMA,3504206,45,13692,29.88
SP,AVANHANDAVA,3504404,40,11263,32.29
SP,AVARE,3504503,180,92805,17.63
SP,AVAI,3504305,20,4483,40.56
SP,BADY BASSITT,3504602,64,27260,21.34
SP,BALBINOS,3504701,13,3887,30.4
SP,BANANAL,3504909,27,9969,24.62
SP,BARBOSA,3505104,27,5640,43.52
SP,BARIRI,3505203,83,31595,23.88
SP,BARRA BONITA,3505302,66,34346,17.47
SP,BARRA DO CHAPEU,3505351,5,5179,8.78
SP,BARRA DO TURVO,3505401,113,6876,149.4
SP,BARRETOS,3505500,395,122485,29.32
SP,BARRINHA,3505609,99,32092,28.04
SP,BARUERI,3505708,678,316473,19.48
SP,BARAO DE ANTONINA,3505005,7,3531,18.02
SP,BASTOS,3505807,39,21503,16.49
SP,BATATAIS,3505906,140,58402,21.79
SP,BAURU,3506003,1124,379146,26.95
SP,BEBEDOURO,3506102,238,76373,28.33
SP,BENTO DE ABREU,3506201,8,2606,27.91
SP,BERNARDINO DE CAMPOS,3506300,25,11607,19.58
SP,BERTIOGA,3506359,438,64188,62.03
SP,BILAC,3506409,19,7319,23.6
SP,BIRIGUI,3506508,404,118979,30.87
SP,BIRITIBA MIRIM,3506607,81,29683,24.81
SP,BOA ESPERANCA DO SUL,3506706,45,12978,31.52
SP,BOCAINA,3506805,16,11259,12.92
SP,BOFETE,3506904,42,10460,36.5
SP,BOITUVA,3507001,235,61081,34.98
SP,BOM JESUS DOS PERDOES,3507100,59,22006,24.37
SP,BOM SUCESSO DE ITARARE,3507159,10,3555,25.57
SP,BORACEIA,3507308,7,4715,13.5
SP,BORBOREMA,3507407,65,14226,41.54
SP,BOREBI,3507456,2,2713,6.7
SP,BORA,3507209,0,907,0
SP,BOTUCATU,3507506,295,145155,18.48
SP,BRAGANCA PAULISTA,3507605,401,176811,20.62
SP,BRAUNA,3507704,20,5356,33.95
SP,BREJO ALEGRE,3507753,16,2565,56.71
SP,BRODOWSKI,3507803,52,25201,18.76
SP,BROTAS,3507902,93,23898,35.38
SP,BURI,3508009,77,20250,34.57
SP,BURITAMA,3508108,74,17210,39.09
SP,BURITIZAL,3508207,19,4356,39.65
SP,BALSAMO,3504800,24,9596,22.74
SP,CABREUVA,3508405,110,47011,21.27
SP,CABRALIA PAULISTA,3508306,13,4299,27.49
SP,CACHOEIRA PAULISTA,3508603,186,31564,53.57
SP,CACONDE,3508702,47,17101,24.99
SP,CAFELANDIA,3508801,59,16654,32.21
SP,CAIABU,3508900,4,3712,9.8
SP,CAIEIRAS,3509007,223,95032,21.33
SP,CAIUA,3509106,15,5466,24.95
SP,CAJAMAR,3509205,218,92689,21.38
SP,CAJATI,3509254,99,28515,31.56
SP,CAJOBI,3509304,14,9133,13.94
SP,CAJURU,3509403,119,23830,45.4
SP,CAMPINA DO MONTE ALEGRE,3509452,39,5954,59.55
SP,CAMPINAS,3509502,3848,1139047,30.71
SP,CAMPO LIMPO PAULISTA,3509601,216,77632,25.29
SP,CAMPOS DO JORDAO,3509700,141,46974,27.29
SP,CAMPOS NOVOS PAULISTA,3509809,14,4888,26.04
SP,CANANEIA,3509908,68,12289,50.3
SP,CANAS,3509957,40,4931,73.74
SP,CANITAR,3510153,27,6283,39.07
SP,CAPELA DO ALTO,3510302,74,22866,29.42
SP,CAPIVARI,3510401,170,50068,30.87
SP,CAPAO BONITO,3510203,131,46337,25.7
SP,CARAGUATATUBA,3510500,995,134873,67.07
SP,CARAPICUIBA,3510609,1160,386984,27.25
SP,CARDOSO,3510708,56,11345,44.87
SP,CASA BRANCA,3510807,91,28083,29.46
SP,CASTILHO,3511003,135,19977,61.43
SP,CATANDUVA,3511102,296,115791,23.24
SP,CATIGUA,3511201,21,7003,27.26
SP,CACAPAVA,3508504,500,96202,47.25
SP,CEDRAL,3511300,42,12618,30.26
SP,CERQUEIRA CESAR,3511409,51,21469,21.6
SP,CERQUILHO,3511508,77,44695,15.66
SP,CESARIO LANGE,3511607,56,19048,26.73
SP,CHARQUEADA,3511706,66,15535,38.62
SP,CHAVANTES,3557204,63,12211,46.9
SP,CLEMENTINA,3511904,20,6982,26.04
SP,COLINA,3512001,82,18486,40.33
SP,COLOMBIA,3512100,44,6629,60.34
SP,CONCHAL,3512209,112,28101,36.23
SP,CONCHAS,3512308,40,15232,23.87
SP,CORDEIROPOLIS,3512407,69,24514,25.59
SP,COROADOS,3512506,42,5400,70.71
SP,CORONEL MACEDO,3512605,14,4280,29.74
SP,CORUMBATAI,3512704,43,4195,93.18
SP,COSMORAMA,3512902,40,8719,41.71
SP,COSMOPOLIS,3512803,220,59773,33.46
SP,COTIA,3513009,763,274413,25.28
SP,CRAVINHOS,3513108,106,33281,28.95
SP,CRISTAIS PAULISTA,3513207,22,9272,21.57
SP,CRUZEIRO,3513405,753,74961,91.32
SP,CRUZALIA,3513306,14,2108,60.38
SP,CUBATAO,3513504,933,112476,75.41
SP,CUNHA,3513603,163,22110,67.02
SP,CASSIA DOS COQUEIROS,3510906,14,2799,45.47
SP,CANDIDO MOTA,3510005,69,29449,21.3
SP,CANDIDO RODRIGUES,3510104,5,2889,15.73
SP,DESCALVADO,3513702,75,31756,21.47
SP,DIADEMA,3513801,949,393237,21.94
SP,DIRCE REIS,3513850,2,1620,11.22
SP,DIVINOLANDIA,3513900,15,11158,12.22
SP,DOBRADA,3514007,29,8759,30.1
SP,DOIS CORREGOS,3514106,218,24510,80.86
SP,DOLCINOPOLIS,3514205,11,2207,45.31
SP,DOURADO,3514304,23,8096,25.83
SP,DRACENA,3514403,95,45474,18.99
SP,DUARTINA,3514502,24,12328,17.7
SP,DUMONT,3514601,16,9471,15.36
SP,ECHAPORA,3514700,20,6205,29.3
SP,ELDORADO,3514809,77,13069,53.56
SP,ELIAS FAUSTO,3514908,64,17699,32.87
SP,ELISIARIO,3514924,16,3138,46.35
SP,EMBAUBA,3514957,11,2323,43.05
SP,EMBU DAS ARTES,3515004,869,250691,31.51
